municipio,año,casos,poblacion,casos_per_100k,key
ANDES,1991,1,46289.0,2.160340469658018,ANDES_1991
ANDES,1994,3,46289.0,6.481021408974055,ANDES_1994
ANDES,1996,4,46289.0,8.641361878632072,ANDES_1996
ANDES,1997,3,46289.0,6.481021408974055,ANDES_1997
ANDES,1998,3,46289.0,6.481021408974055,ANDES_1998
ANDES,1999,2,46289.0,4.320680939316036,ANDES_1999
ANDES,2000,10,46289.0,21.60340469658018,ANDES_2000
ANDES,2001,7,46289.0,15.122383287606128,ANDES_2001
ANDES,2002,6,46289.0,12.96204281794811,ANDES_2002
ANDES,2003,1,46289.0,2.160340469658018,ANDES_2003
ANDES,2004,5,46289.0,10.80170234829009,ANDES_2004
ANDES,2005,1,46289.0,2.160340469658018,ANDES_2005
ANDES,2010,1,46289.0,2.160340469658018,ANDES_2010
ANDES,2012,1,46289.0,2.160340469658018,ANDES_2012
ANDES,2021,2,46289.0,4.320680939316036,ANDES_2021
ANGELOPOLIS,1990,1,,,ANGELOPOLIS_1990
ANGELOPOLIS,1998,1,,,ANGELOPOLIS_1998
ANGELOPOLIS,1999,1,,,ANGELOPOLIS_1999
ANGELOPOLIS,2000,1,,,ANGELOPOLIS_2000
ANGELOPOLIS,2001,3,,,ANGELOPOLIS_2001
ANGELOPOLIS,2002,2,,,ANGELOPOLIS_2002
ANGELOPOLIS,2003,1,,,ANGELOPOLIS_2003
ANGELOPOLIS,2006,1,,,ANGELOPOLIS_2006
ANGOSTURA,1991,1,12081.0,8.277460475126231,ANGOSTURA_1991
ANGOSTURA,1993,1,12081.0,8.277460475126231,ANGOSTURA_1993
ANGOSTURA,1994,2,12081.0,16.554920950252463,ANGOSTURA_1994
ANGOSTURA,1995,1,12081.0,8.277460475126231,ANGOSTURA_1995
ANGOSTURA,1997,2,12081.0,16.554920950252463,ANGOSTURA_1997
ANGOSTURA,1998,8,12081.0,66.21968380100985,ANGOSTURA_1998
ANGOSTURA,1999,5,12081.0,41.38730237563116,ANGOSTURA_1999
ANGOSTURA,2000,6,12081.0,49.66476285075739,ANGOSTURA_2000
ANGOSTURA,2001,16,12081.0,132.4393676020197,ANGOSTURA_2001
ANGOSTURA,2002,5,12081.0,41.38730237563116,ANGOSTURA_2002
ANGOSTURA,2003,11,12081.0,91.05206522638855,ANGOSTURA_2003
ANGOSTURA,2004,3,12081.0,24.832381425378696,ANGOSTURA_2004
ANGOSTURA,2005,5,12081.0,41.38730237563116,ANGOSTURA_2005
ANGOSTURA,2006,1,12081.0,8.277460475126231,ANGOSTURA_2006
ANGOSTURA,2007,1,12081.0,8.277460475126231,ANGOSTURA_2007
ANGOSTURA,2008,1,12081.0,8.277460475126231,ANGOSTURA_2008
ANGOSTURA,2011,1,12081.0,8.277460475126231,ANGOSTURA_2011
ANGOSTURA,2013,4,12081.0,33.109841900504925,ANGOSTURA_2013
ANGOSTURA,2014,1,12081.0,8.277460475126231,ANGOSTURA_2014
ANGOSTURA,2022,2,12081.0,16.554920950252463,ANGOSTURA_2022
ANOLAIMA,2000,1,16077.0,6.220065932698886,ANOLAIMA_2000
ANOLAIMA,2002,1,16077.0,6.220065932698886,ANOLAIMA_2002
ANOLAIMA,2003,2,16077.0,12.440131865397772,ANOLAIMA_2003
ANORI,1988,1,,,ANORI_1988
ANORI,1989,2,,,ANORI_1989
ANORI,1990,2,,,ANORI_1990
ANORI,1991,2,,,ANORI_1991
ANORI,1992,1,,,ANORI_1992
ANORI,1996,4,,,ANORI_1996
ANORI,1997,10,,,ANORI_1997
ANORI,1998,7,,,ANORI_1998
ANORI,1999,6,,,ANORI_1999
ANORI,2000,10,,,ANORI_2000
ANORI,2001,8,,,ANORI_2001
ANORI,2002,7,,,ANORI_2002
ANORI,2003,7,,,ANORI_2003
ANORI,2004,5,,,ANORI_2004
ANORI,2005,15,,,ANORI_2005
ANORI,2006,6,,,ANORI_2006
ANORI,2007,13,,,ANORI_2007
ANORI,2008,4,,,ANORI_2008
ANORI,2009,3,,,ANORI_2009
ANORI,2010,3,,,ANORI_2010
ANORI,2011,20,,,ANORI_2011
ANORI,2012,7,,,ANORI_2012
ANORI,2013,4,,,ANORI_2013
ANORI,2014,4,,,ANORI_2014
ANORI,2015,1,,,ANORI_2015
ANORI,2018,1,,,ANORI_2018
ANORI,2021,1,,,ANORI_2021
ANORI,2022,1,,,ANORI_2022
ANORI,2023,1,,,ANORI_2023
ANORI,2024,1,,,ANORI_2024
ANSERMA,1987,1,37693.0,2.6530124956888548,ANSERMA_1987
ANSERMA,1988,3,37693.0,7.959037487066564,ANSERMA_1988
ANSERMA,1989,3,37693.0,7.959037487066564,ANSERMA_1989
ANSERMA,1990,2,37693.0,5.3060249913777096,ANSERMA_1990
ANSERMA,1996,2,37693.0,5.3060249913777096,ANSERMA_1996
ANSERMA,1997,2,37693.0,5.3060249913777096,ANSERMA_1997
ANSERMA,1999,7,37693.0,18.571087469821983,ANSERMA_1999
ANSERMA,2000,8,37693.0,21.224099965510838,ANSERMA_2000
ANSERMA,2001,5,37693.0,13.265062478444275,ANSERMA_2001
ANSERMA,2002,9,37693.0,23.87711246119969,ANSERMA_2002
ANSERMA,2003,6,37693.0,15.918074974133129,ANSERMA_2003
ANSERMA,2004,4,37693.0,10.612049982755419,ANSERMA_2004
ANSERMA,2005,3,37693.0,7.959037487066564,ANSERMA_2005
ANSERMA,2006,1,37693.0,2.6530124956888548,ANSERMA_2006
ANSERMA,2012,1,37693.0,2.6530124956888548,ANSERMA_2012
ANSERMA,2016,2,37693.0,5.3060249913777096,ANSERMA_2016
ANSERMANUEVO,1988,1,17659.0,5.662834815108443,ANSERMANUEVO_1988
ANSERMANUEVO,2002,2,17659.0,11.325669630216886,ANSERMANUEVO_2002
ANSERMANUEVO,2003,1,17659.0,5.662834815108443,ANSERMANUEVO_2003
ANSERMANUEVO,2004,2,17659.0,11.325669630216886,ANSERMANUEVO_2004
ANSERMANUEVO,2005,1,17659.0,5.662834815108443,ANSERMANUEVO_2005
ANZA,1985,1,,,ANZA_1985
ANZA,1988,2,,,ANZA_1988
ANZA,1989,1,,,ANZA_1989
ANZA,1990,1,,,ANZA_1990
ANZA,1991,1,,,ANZA_1991
ANZA,1995,1,,,ANZA_1995
ANZA,1996,3,,,ANZA_1996
ANZA,1997,3,,,ANZA_1997
ANZA,1999,2,,,ANZA_1999
ANZA,2000,7,,,ANZA_2000
ANZA,2001,1,,,ANZA_2001
ANZA,2004,1,,,ANZA_2004
ANZA,2006,2,,,ANZA_2006
ANZA,2007,2,,,ANZA_2007
ANZA,2010,1,,,ANZA_2010
ANZOATEGUI,1991,1,,,ANZOATEGUI_1991
ANZOATEGUI,1995,2,,,ANZOATEGUI_1995
ANZOATEGUI,1996,2,,,ANZOATEGUI_1996
ANZOATEGUI,1997,3,,,ANZOATEGUI_1997
ANZOATEGUI,1998,2,,,ANZOATEGUI_1998
ANZOATEGUI,1999,6,,,ANZOATEGUI_1999
ANZOATEGUI,2000,1,,,ANZOATEGUI_2000
ANZOATEGUI,2001,2,,,ANZOATEGUI_2001
ANZOATEGUI,2002,3,,,ANZOATEGUI_2002
ANZOATEGUI,2003,2,,,ANZOATEGUI_2003
ANZOATEGUI,2005,3,,,ANZOATEGUI_2005
ANZOATEGUI,2006,2,,,ANZOATEGUI_2006
ANZOATEGUI,2007,2,,,ANZOATEGUI_2007
ANZOATEGUI,2009,1,,,ANZOATEGUI_2009
APARTADO,1985,1,,,APARTADO_1985
APARTADO,1986,1,,,APARTADO_1986
APARTADO,1987,2,,,APARTADO_1987
APARTADO,1988,14,,,APARTADO_1988
APARTADO,1989,12,,,APARTADO_1989
APARTADO,1990,12,,,APARTADO_1990
APARTADO,1991,13,,,APARTADO_1991
APARTADO,1992,7,,,APARTADO_1992
APARTADO,1993,11,,,APARTADO_1993
APARTADO,1994,9,,,APARTADO_1994
APARTADO,1995,27,,,APARTADO_1995
APARTADO,1996,32,,,APARTADO_1996
APARTADO,1997,36,,,APARTADO_1997
APARTADO,1998,20,,,APARTADO_1998
APARTADO,1999,13,,,APARTADO_1999
APARTADO,2000,19,,,APARTADO_2000
APARTADO,2001,17,,,APARTADO_2001
APARTADO,2002,10,,,APARTADO_2002
APARTADO,2003,14,,,APARTADO_2003
APARTADO,2004,19,,,APARTADO_2004
APARTADO,2005,8,,,APARTADO_2005
APARTADO,2006,6,,,APARTADO_2006
APARTADO,2007,4,,,APARTADO_2007
APARTADO,2008,3,,,APARTADO_2008
APARTADO,2009,12,,,APARTADO_2009
APARTADO,2010,6,,,APARTADO_2010
APARTADO,2011,2,,,APARTADO_2011
APARTADO,2012,2,,,APARTADO_2012
APARTADO,2013,3,,,APARTADO_2013
APARTADO,2014,2,,,APARTADO_2014
APARTADO,2015,3,,,APARTADO_2015
APARTADO,2024,1,,,APARTADO_2024
APIA,1997,1,,,APIA_1997
APIA,2000,1,,,APIA_2000
APIA,2001,1,,,APIA_2001
APIA,2002,2,,,APIA_2002
APIA,2003,1,,,APIA_2003
APIA,2004,2,,,APIA_2004
APIA,2005,2,,,APIA_2005
APULO,1990,1,9647.0,10.36591686534674,APULO_1990
APULO,1991,1,9647.0,10.36591686534674,APULO_1991
APULO,2000,3,9647.0,31.09775059604022,APULO_2000
APULO,2001,1,9647.0,10.36591686534674,APULO_2001
APULO,2002,2,9647.0,20.73183373069348,APULO_2002
APULO,2003,2,9647.0,20.73183373069348,APULO_2003
APULO,2004,1,9647.0,10.36591686534674,APULO_2004
APULO,2005,1,9647.0,10.36591686534674,APULO_2005
AQUITANIA,1991,2,15852.0,12.616704516780217,AQUITANIA_1991
AQUITANIA,1998,2,15852.0,12.616704516780217,AQUITANIA_1998
AQUITANIA,1999,8,15852.0,50.46681806712087,AQUITANIA_1999
AQUITANIA,2000,4,15852.0,25.233409033560434,AQUITANIA_2000
AQUITANIA,2001,2,15852.0,12.616704516780217,AQUITANIA_2001
AQUITANIA,2002,8,15852.0,50.46681806712087,AQUITANIA_2002
AQUITANIA,2003,4,15852.0,25.233409033560434,AQUITANIA_2003
AQUITANIA,2004,2,15852.0,12.616704516780217,AQUITANIA_2004
AQUITANIA,2005,1,15852.0,6.308352258390109,AQUITANIA_2005
ARACATACA,1989,2,42930.0,4.658746797111577,ARACATACA_1989
ARACATACA,1990,4,42930.0,9.317493594223153,ARACATACA_1990
ARACATACA,1991,5,42930.0,11.646866992778943,ARACATACA_1991
ARACATACA,1992,4,42930.0,9.317493594223153,ARACATACA_1992
ARACATACA,1993,4,42930.0,9.317493594223153,ARACATACA_1993
ARACATACA,1995,2,42930.0,4.658746797111577,ARACATACA_1995
ARACATACA,1996,5,42930.0,11.646866992778943,ARACATACA_1996
ARACATACA,1997,10,42930.0,23.293733985557886,ARACATACA_1997
ARACATACA,1998,8,42930.0,18.634987188446306,ARACATACA_1998
ARACATACA,1999,24,42930.0,55.90496156533892,ARACATACA_1999
ARACATACA,2000,15,42930.0,34.940600978336825,ARACATACA_2000
ARACATACA,2001,18,42930.0,41.92872117400419,ARACATACA_2001
ARACATACA,2002,35,42930.0,81.5280689494526,ARACATACA_2002
ARACATACA,2003,40,42930.0,93.17493594223154,ARACATACA_2003
ARACATACA,2004,18,42930.0,41.92872117400419,ARACATACA_2004
ARACATACA,2005,8,42930.0,18.634987188446306,ARACATACA_2005
ARACATACA,2006,2,42930.0,4.658746797111577,ARACATACA_2006
ARACATACA,2007,1,42930.0,2.3293733985557883,ARACATACA_2007
ARACATACA,2012,1,42930.0,2.3293733985557883,ARACATACA_2012
ARANZAZU,2000,1,10844.0,9.221689413500554,ARANZAZU_2000
ARATOCA,1988,1,8708.0,11.483693155718878,ARATOCA_1988
ARATOCA,1989,1,8708.0,11.483693155718878,ARATOCA_1989
ARATOCA,1991,1,8708.0,11.483693155718878,ARATOCA_1991
ARATOCA,1992,5,8708.0,57.418465778594395,ARATOCA_1992
ARATOCA,2000,2,8708.0,22.967386311437757,ARATOCA_2000
ARATOCA,2001,1,8708.0,11.483693155718878,ARATOCA_2001
ARATOCA,2003,2,8708.0,22.967386311437757,ARATOCA_2003
ARAUCA,1985,16,101457.0,15.770227781227515,ARAUCA_1985
ARAUCA,1986,3,101457.0,2.9569177089801593,ARAUCA_1986
ARAUCA,1987,17,101457.0,16.755867017554234,ARAUCA_1987
ARAUCA,1988,9,101457.0,8.870753126940478,ARAUCA_1988
ARAUCA,1989,12,101457.0,11.827670835920637,ARAUCA_1989
ARAUCA,1990,9,101457.0,8.870753126940478,ARAUCA_1990
ARAUCA,1991,17,101457.0,16.755867017554234,ARAUCA_1991
ARAUCA,1992,10,101457.0,9.856392363267197,ARAUCA_1992
ARAUCA,1993,6,101457.0,5.9138354179603185,ARAUCA_1993
ARAUCA,1994,7,101457.0,6.8994746542870375,ARAUCA_1994
ARAUCA,1995,6,101457.0,5.9138354179603185,ARAUCA_1995
ARAUCA,1996,10,101457.0,9.856392363267197,ARAUCA_1996
ARAUCA,1997,16,101457.0,15.770227781227515,ARAUCA_1997
ARAUCA,1998,31,101457.0,30.55481632612831,ARAUCA_1998
ARAUCA,1999,29,101457.0,28.58353785347487,ARAUCA_1999
ARAUCA,2000,36,101457.0,35.48301250776191,ARAUCA_2000
