municipio,year,hectares_lost
CHINCHINA,2001,133
FILADELFIA,2001,52
LA DORADA,2001,363
LA MERCED,2001,34
MANIZALES,2001,129
MANZANARES,2001,36
MARMATO,2001,11
MARQUETALIA,2001,9
MARULANDA,2001,18
NEIRA,2001,51
NORCASIA,2001,135
PALESTINA,2001,176
PENSILVANIA,2001,54
PACORA,2001,67
RIOSUCIO,2001,36
RISARALDA,2001,41
SALAMINA,2001,39
SAMANA,2001,128
SAN JOSE,2001,24
SUPIA,2001,15
VICTORIA,2001,273
VILLAMARIA,2001,32
VITERBO,2001,17
ALBANIA,2001,172
BELEN DE LOS ANDAQUIES,2001,332
CARTAGENA DEL CHAIRA,2001,3516
CURILLO,2001,487
EL DONCELLO,2001,377
EL PAUJIL,2001,297
FLORENCIA,2001,443
LA MONTA¥ITA,2001,437
MILAN,2001,350
MORELIA,2001,70
PUERTO RICO,2001,935
SAN JOSE DEL FRAGUA,2001,438
SAN VICENTE DEL CAGUAN,2001,5069
SOLANO,2001,1682
SOLITA,2001,532
VALPARAISO,2001,849
AGUAZUL,2001,195
CHAMEZA,2001,17
HATO COROZAL,2001,910
LA SALINA,2001,6
MANI,2001,157
MONTERREY,2001,23
NUNCHIA,2001,330
OROCUE,2001,85
PAZ DE ARIPORO,2001,419
PORE,2001,142
RECETOR,2001,3
SABANALARGA,2001,6
SAN LUIS DE PALENQUE,2001,225
SACAMA,2001,32
TAURAMENA,2001,193
TRINIDAD,2001,228
TAMARA,2001,84
VILLANUEVA,2001,153
YOPAL,2001,608
ALMAGUER,2001,76
ARGELIA,2001,168
BALBOA,2001,47
BOLIVAR,2001,346
BUENOS AIRES,2001,144
CAJIBIO,2001,210
CALDONO,2001,139
CALOTO,2001,73
CORINTO,2001,53
EL TAMBO,2001,580
FLORENCIA,2001,14
GUAPI,2001,84
INZA,2001,67
JAMBALO,2001,110
LA SIERRA,2001,121
LA VEGA,2001,250
LOPEZ,2001,223
MERCADERES,2001,141
MIRANDA,2001,67
MORALES,2001,129
PADILLA,2001,3
PATIA,2001,207
PIAMONTE,2001,449
PIENDAMO,2001,98
POPAYAN,2001,258
PUERTO TEJADA,2001,9
PURACE,2001,94
PAEZ,2001,159
ROSAS,2001,100
SAN SEBASTIAN,2001,114
SANTA ROSA,2001,62
SANTANDER DE QUILICHAO,2001,125
SILVIA,2001,483
SOTARA,2001,272
SUCRE,2001,24
SUAREZ,2001,84
TIMBIQUI,2001,147
TIMBIO,2001,122
TORIBIO,2001,181
TOTORO,2001,320
VILLA RICA,2001,3
AGUACHICA,2001,112
AGUSTIN CODAZZI,2001,218
ASTREA,2001,363
BECERRIL,2001,205
BOSCONIA,2001,126
CHIMICHAGUA,2001,516
CHIRIGUANA,2001,366
CURUMANI,2001,355
EL COPEY,2001,339
EL PASO,2001,153
GAMARRA,2001,64
GONZALEZ,2001,26
LA GLORIA,2001,250
LA JAGUA DE IBIRICO,2001,161
LA PAZ,2001,203
MANAURE,2001,26
PAILITAS,2001,146
PELAYA,2001,146
PUEBLO BELLO,2001,58
RIO DE ORO,2001,82
SAN ALBERTO,2001,342
SAN DIEGO,2001,129
SAN MARTIN,2001,196
TAMALAMEQUE,2001,157
VALLEDUPAR,2001,838
ACANDI,2001,135
ALTO BAUDO,2001,63
ATRATO,2001,23
BAGADO,2001,36
BAHIA SOLANO,2001,11
BAJO BAUDO,2001,55
BELEN DE BAJIRA,2001,391
BOJAYA,2001,49
CONDOTO,2001,66
CERTEGUI,2001,11
CANTON DEL SAN PABLO,2001,18
EL CARMEN DE ATRATO,2001,33
CARMEN DEL DARIEN,2001,151
EL LITORAL DEL SAN JUAN,2001,42
ISTMINA,2001,82
JURADO,2001,18
LLORO,2001,86
MEDIO ATRATO,2001,35
MEDIO BAUDO,2001,57
MEDIO SAN JUAN,2001,29
NUQUI,2001,10
NOVITA,2001,132
QUIBDO,2001,134
RIOSUCIO,2001,203
RIO IRO,2001,12
RIO QUITO,2001,28
SAN JOSE DEL PALMAR,2001,176
SIPI,2001,192
TADO,2001,32
UNGUIA,2001,302
UNION PANAMERICANA,2001,14
AGUA DE DIOS,2001,3
ALBAN,2001,2
ANAPOIMA,2001,47
ANOLAIMA,2001,12
ARBELAEZ,2001,10
BELTRAN,2001,53
BITUIMA,2001,6
BOJACA,2001,33
CABRERA,2001,44
CACHIPAY,2001,5
CAJICA,2001,73
CAPARRAPI,2001,256
CARMEN DE CARUPA,2001,183
CHAGUANI,2001,10
CHIPAQUE,2001,81
CHOACHI,2001,25
CHOCONTA,2001,59
CHIA,2001,69
COGUA,2001,48
COTA,2001,73
CUCUNUBA,2001,14
CAQUEZA,2001,39
EL COLEGIO,2001,13
EL PE¥ON,2001,6
EL ROSAL,2001,81
FACATATIVA,2001,100
FOSCA,2001,33
FUNZA,2001,89
FUSAGASUGA,2001,25
FOMEQUE,2001,33
FUQUENE,2001,22
GACHALA,2001,9
GACHANCIPA,2001,22
GACHETA,2001,5
GAMA,2001,2
GIRARDOT,2001,21
GRANADA,2001,13
GUACHETA,2001,58
GUADUAS,2001,236
GUASCA,2001,167
GUATAQUI,2001,45
GUATAVITA,2001,37
GUAYABAL DE  SIQUIMA,2001,7
GUAYABETAL,2001,3
GUTIERREZ,2001,21
JERUSALEN,2001,86
JUNIN,2001,7
LA CALERA,2001,97
LA MESA,2001,35
LA PALMA,2001,36
LA PE¥A,2001,16
LA VEGA,2001,32
LENGUAZAQUE,2001,61
MACHETA,2001,19
MADRID,2001,114
MANTA,2001,3
MEDINA,2001,71
MOSQUERA,2001,58
NARI¥O,2001,19
NEMOCON,2001,79
NILO,2001,46
NIMAIMA,2001,4
NOCAIMA,2001,3
PACHO,2001,28
PAIME,2001,34
PANDI,2001,6
PARATEBUENO,2001,92
PASCA,2001,53
PUERTO SALGAR,2001,204
PULI,2001,33
QUEBRADANEGRA,2001,25
QUETAME,2001,8
QUIPILE,2001,65
RAFAEL REYES,2001,58
RICAURTE,2001,25
SAN ANTONIO DEL TEQUENDAMA,2001,7
SAN BERNARDO,2001,24
SAN CAYETANO,2001,114
SAN FRANCISCO,2001,11
SAN JUAN DE RIO SECO,2001,57
SASAIMA,2001,13
SESQUILE,2001,50
SIBATE,2001,106
SILVANIA,2001,26
SIMIJACA,2001,13
SOACHA,2001,65
SOPO,2001,68
SUBACHOQUE,2001,73
SUESCA,2001,33
SUPATA,2001,15
SUSA,2001,25
SUTATAUSA,2001,15
TABIO,2001,69
TAUSA,2001,61
TENA,2001,3
TENJO,2001,114
TIBACUY,2001,12
TIBIRITA,2001,2
TOCANCIPA,2001,47
TOCAIMA,2001,31
TOPAIPI,2001,7
UBALA,2001,20
UBAQUE,2001,47
UNE,2001,42
VENECIA,2001,13
VERGARA,2001,7
VIANI,2001,5
UBATE,2001,36
VILLAGOMEZ,2001,8
VILLAPINZON,2001,78
VILLETA,2001,49
VIOTA,2001,91
YACOPI,2001,258
ZIPACON,2001,20
ZIPAQUIRA,2001,109
UTICA,2001,17
AYAPEL,2001,510
BUENAVISTA,2001,521
CANALETE,2001,247
CERETE,2001,43
CHIMA,2001,89
CHINU,2001,438
CIENAGA DE ORO,2001,326
COTORRA,2001,0
LA APARTADA,2001,32
LOS CORDOBAS,2001,229
MOMIL,2001,25
MONTELIBANO,2001,1006
MONTERIA,2001,1359
MO¥ITOS,2001,62
PLANETA RICA,2001,1315
PUEBLO NUEVO,2001,890
PUERTO ESCONDIDO,2001,712
PUERTO LIBERTADOR,2001,979
PURISIMA,2001,11
SAN ANDRES DE SOTAVENTO,2001,171
SAN ANTERO,2001,67
SAHAGUN,2001,723
SAN BERNARDO DEL VIENTO,2001,24
SAN CARLOS,2001,409
SAN PELAYO,2001,214
LORICA,2001,325
