año,municipio,departamento,categoria,grupo_especifico,tipo_violencia,lat,lon
1985,DOSQUEBRADAS,RISARALDA,GUERRILLA,OTRA DISIDENCIA,AT_Atentados_Terroristas,4.842021144,-75.66993655
1985,MEDELLIN,ANTIOQUIA,GUERRILLA,ELN,AT_Atentados_Terroristas,6.250063,-75.578661
1985,MEDELLIN,ANTIOQUIA,DESCONOCIDO,,AT_Atentados_Terroristas,6.257590259,-75.61103107
1987,BARRANQUILLA,ATLANTICO,GUERRILLA,COORDINADORA NACIONAL GUERRILLERA,AT_Atentados_Terroristas,10.98152051,-74.82771544
1987,"BOGOTA, D.C.","BOGOTA, D. C.",DESCONOCIDO,,AT_Atentados_Terroristas,4.316107698,-74.1810727
1989,BUCARAMANGA,SANTANDER,CRIMEN ORGANIZADO,CARTEL DE MEDELLÍN,AT_Atentados_Terroristas,7.155833544,-73.11156997
1989,"BOGOTA, D.C.","BOGOTA, D. C.",OTRO ¿CUÁL?,,AT_Atentados_Terroristas,4.316107698,-74.1810727
1990,MEDELLIN,ANTIOQUIA,GRUPO ARMADO NO IDENTIFICADO,,AT_Atentados_Terroristas,6.250063,-75.578661
2012,ARGELIA,CAUCA,GUERRILLA,FARC,AT_Atentados_Terroristas,2.257427,-77.24905
1992,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,ELN,AT_Atentados_Terroristas,4.316107698,-74.1810727
1992,SANTIAGO DE CALI,VALLE DEL CAUCA,GUERRILLA,FARC,AT_Atentados_Terroristas,3.414162,-76.521469
1992,MEDELLIN,ANTIOQUIA,DESCONOCIDO,,AT_Atentados_Terroristas,6.250063,-75.578661
1992,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,ELN,AT_Atentados_Terroristas,4.316107698,-74.1810727
1993,BARRANCABERMEJA,SANTANDER,GUERRILLA,,AT_Atentados_Terroristas,7.054074558,-73.78211646
1995,MEDELLIN,ANTIOQUIA,GUERRILLA,FARC,AT_Atentados_Terroristas,6.250063,-75.578661
1995,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,FARC,AT_Atentados_Terroristas,4.316107698,-74.1810727
1995,"BOGOTA, D.C.","BOGOTA, D. C.",GRUPO ARMADO NO IDENTIFICADO,,AT_Atentados_Terroristas,4.316107698,-74.1810727
