departamento,municipio,municipio_id,year,loss_ha,key
Sucre,San Juan de Betulia,SAN JUAN DE BETULIA,2023,0,SAN JUAN DE BETULIA_2023
Sucre,San Marcos,SAN MARCOS,2023,62,SAN MARCOS_2023
Sucre,San Onofre,SAN ONOFRE,2023,559,SAN ONOFRE_2023
Sucre,San Pedro,SAN PEDRO,2023,0,SAN PEDRO_2023
Sucre,Sincelejo,SINCELEJO,2023,5,SINCELEJO_2023
Sucre,Sincé,SINCE,2023,15,SINCE_2023
Sucre,Sucre,SUCRE,2023,67,SUCRE_2023
Sucre,Toluviejo,TOLUVIEJO,2023,30,TOLUVIEJO_2023
Sucre,Tolú,TOLU,2023,12,TOLU_2023
Tolima,Alpujarra,ALPUJARRA,2023,26,ALPUJARRA_2023
Tolima,Alvarado,ALVARADO,2023,9,ALVARADO_2023
Tolima,Ambalema,AMBALEMA,2023,6,AMBALEMA_2023
Tolima,Anzoátegui,ANZOATEGUI,2023,31,ANZOATEGUI_2023
Tolima,Armero,ARMERO,2023,52,ARMERO_2023
Tolima,Ataco,ATACO,2023,200,ATACO_2023
Tolima,Cajamarca,CAJAMARCA,2023,16,CAJAMARCA_2023
Tolima,Carmen de Apicalá,CARMEN DE APICALA,2023,25,CARMEN DE APICALA_2023
Tolima,Casabianca,CASABIANCA,2023,23,CASABIANCA_2023
Tolima,Chaparral,CHAPARRAL,2023,187,CHAPARRAL_2023
Tolima,Coello,COELLO,2023,34,COELLO_2023
Tolima,Coyaima,COYAIMA,2023,1,COYAIMA_2023
Tolima,Cunday,CUNDAY,2023,151,CUNDAY_2023
Tolima,Dolores,DOLORES,2023,114,DOLORES_2023
Tolima,Espinal,ESPINAL,2023,1,ESPINAL_2023
Tolima,Falán,FALAN,2023,64,FALAN_2023
Tolima,Flandes,FLANDES,2023,4,FLANDES_2023
Tolima,Fresno,FRESNO,2023,55,FRESNO_2023
Tolima,Guamo,GUAMO,2023,2,GUAMO_2023
Tolima,Herveo,HERVEO,2023,14,HERVEO_2023
Tolima,Honda,HONDA,2023,5,HONDA_2023
Tolima,Ibagué,IBAGUE,2023,68,IBAGUE_2023
Tolima,Icononzo,ICONONZO,2023,8,ICONONZO_2023
Tolima,Lérida,LERIDA,2023,29,LERIDA_2023
Tolima,Líbano,LIBANO,2023,48,LIBANO_2023
Tolima,Melgar,MELGAR,2023,19,MELGAR_2023
Tolima,Murillo,MURILLO,2023,1,MURILLO_2023
Tolima,Natagaima,NATAGAIMA,2023,3,NATAGAIMA_2023
Tolima,Ortega,ORTEGA,2023,69,ORTEGA_2023
Tolima,Palo Cabildo,PALO CABILDO,2023,14,PALO CABILDO_2023
Tolima,Piedras,PIEDRAS,2023,11,PIEDRAS_2023
Tolima,Planadas,PLANADAS,2023,99,PLANADAS_2023
Tolima,Prado,PRADO,2023,96,PRADO_2023
Tolima,Purificación,PURIFICACION,2023,18,PURIFICACION_2023
Tolima,Rioblanco,RIOBLANCO,2023,128,RIOBLANCO_2023
Tolima,Roncesvalles,RONCESVALLES,2023,32,RONCESVALLES_2023
Tolima,Rovira,ROVIRA,2023,140,ROVIRA_2023
Tolima,Saldaña,SALDANA,2023,4,SALDANA_2023
Tolima,San Antonio,SAN ANTONIO,2023,55,SAN ANTONIO_2023
Tolima,San Luís,SAN LUIS,2023,15,SAN LUIS_2023
